Developer_ID,Developer_Name,Team,Experience_Years,Country,Repository,Language,Stars,Forks,Watchers,Open_Issues,Closed_Issues,Pull_Requests,Merged_PRs,Commit_Date,Commit_Time,Files_Changed,Lines_Added,Lines_Deleted,Coding_Hours,Bugs_Introduced,Bugs_Fixed,Code_Review_Time_Hours,Build_Status,CI_Failures,Weekend_Commit,Night_Commit,Sprint,Repo_Size_MB,License
D0496,Sam,DevOps,4.7,USA,Forge,Java,999999,555,2879,192,987,299,357,2023-02-28,8PM,38,1178,733,4.5,17,27,22.9, ,9,Yes,No,Sprint-8,78.2,MIT
D0316,Chris,Backend,12.1,Germany,Forge,pyhton,999999,215,3686,73,561,473,16,2023-07-08,00:00,19,555,2170,6.4,14,17,56.0,Success,9,Yes,No,Sprint-6,1989.5,
D0272,Alex,DevOps,,Germany,Forge, PYTHON,2616,223,3186,89,919,444,248,2024-02-20,00:00,18,1417,556,11.5,22,16,58.7, ,2,No,Yes,Sprint-7,1740.8,Apache-2.0
D0473,Alex,Backend,,Germany,Nova,Java,-5,511,4363,55,291,499,326,2023-08-30,00:00,96,4800,1822,0.5,4,13,21.3,Failed,10,Yes,No,Sprint-9,3769.8,MIT
D0346,Alex,AI,,Germany,Nova, PYTHON,-5,999,971,142,479,257,468,07/07/2023,00:00,59,1869,309,10.4,2,2,2.4, ,7,Yes,Yes,Sprint-6,1530.7,Apache-2.0
D0637,Alex,DevOps,,India,Forge,TypeScript,999999,466,1945,188,480,113,440,2025-01-24,8PM,22,3569,694,3.5,26,15,0.3,Success,5,Yes,Yes,Sprint-2,1255.9,MIT
D0337,Taylor,DevOps,,India,Atlas, PYTHON,999999,306,47,46,810,100,185,21/11/2023,8PM,85,3444,2082,11.5,13,22,28.6,Success,5,No,No,Sprint-1,1533.7,
D0141,Chris,AI,4.3,India,Atlas, PYTHON,999999,994,98,134,2,205,10,2024-09-03,8PM,89,3693,2892,3.6,0,5,43.9,Success,6,No,No,Sprint-11,2989.5,
D0496,Sam,Frontend,,India,Atlas,,3139,63,4369,167,225,63,244,08/08/2024,25:61,76,1230,848,2.4,1,13,11.6,Success,5,Yes,Yes,Sprint-9,4296.1,MIT
D0627,Chris,Backend,1.4,USA,Atlas,pyhton,4590,907,4357,113,336,474,112,13/04/2024,8PM,6,1939,1584,11.2,29,13,9.1,Success,1,No,Yes,Sprint-1,3923.3,
D0662,Sam,DevOps,,India,Atlas, PYTHON,999999,999,4288,154,100,485,200,2024-09-04,25:61,38,2095,2307,12.0,0,4,2.6, ,6,No,No,Sprint-6,2328.7,MIT
D0063,Alex,DevOps,,Germany,Atlas,TypeScript,999999,412,4184,121,687,170,494,06/12/2023,00:00,83,1584,936,10.2,25,21,40.8, ,0,Yes,No,Sprint-3,164.7,
D0244,Taylor,Platform,,Germany,Atlas,Rust,2519,341,591,161,72,481,423,2024-02-29,00:00,77,3223,1637,5.6,5,3,45.6,FAIL,0,No,No,Sprint-10,4987.6,Apache-2.0
D0408,Sam,Frontend,,India,Atlas, PYTHON,-5,490,5061,99,228,320,276,2024-02-13,25:61,42,2406,2332,6.5,7,11,67.0,FAIL,6,No,No,Sprint-10,3281.4,MIT
D0572,Chris,Backend,,USA,Atlas,Rust,607,928,5340,145,568,72,86,18/03/2023,25:61,40,4682,443,1.5,16,3,14.2, ,4,Yes,No,Sprint-7,2079.4,GPL
D0466, ,Backend,14.2,Germany,Forge, PYTHON,908,280,2101,103,818,492,170,2024-03-09,25:61,31,2566,1914,7.9,30,20,49.8,Success,3,Yes,No,Sprint-12,1491.7,Apache-2.0
D0258,Taylor,AI,8.4,Germany,Nova,Go,999999,397,5971,171,171,326,468,15/11/2023,8PM,60,294,2717,1.4,23,3,7.9,FAIL,8,Yes,No,Sprint-5,1662.6,Apache-2.0
D0283, ,Backend,0.6,Germany,Atlas,Python,2896,779,1109,140,984,478,76,02/03/2023,25:61,86,719,2456,10.6,13,19,46.0,Success,8,No,Yes,Sprint-3,1753.9,GPL
D0665,Chris,Platform,,India,Nova,Go,999999,80,3628,145,850,378,60,2023-08-15,8PM,59,1572,1201,12.3,18,23,70.0,Success,8,No,No,Sprint-3,4337.4,
D0049,Sam,AI,,India,Forge,,999999,85,5408,8,768,127,457,2023-05-10,00:00,61,1392,380,7.6,20,1,29.7,Failed,1,No,Yes,Sprint-9,3850.2,
D0465,Alex,Frontend,5.1,Germany,Forge, PYTHON,1618,571,5270,157,492,374,454,2023-01-18,8PM,35,4175,99,2.5,25,13,60.7,Success,3,No,No,Sprint-8,4112.0,Apache-2.0
D0301,Chris,Backend,6.8,USA,Nova,Go,-5,638,5717,69,955,378,231,2023-08-11,00:00,61,1315,1771,2.6,26,4,4.8,Failed,10,Yes,Yes,Sprint-9,1374.4,GPL
D0040,Sam,AI,,USA,Forge, PYTHON,839,823,3212,66,514,305,14,08/06/2023,8PM,73,2692,2767,4.8,21,2,40.4, ,10,Yes,Yes,Sprint-7,2735.8,
D0026,Sam,Platform,0.5,Germany,Atlas,Go,4865,993,2438,26,264,316,109,2023-03-18,25:61,44,1756,751,4.2,30,10,71.6,Success,6,No,No,Sprint-2,715.3,Apache-2.0
D0243, ,AI,1.5,India,Atlas,pyhton,999999,754,1270,50,268,381,273,2023-12-27,00:00,92,449,2805,3.0,30,4,52.9,Success,2,No,Yes,Sprint-8,4735.7,
D0194,Taylor,Backend,3.6,India,Nova,Go,-5,788,1442,123,379,75,34,10/02/2025,25:61,98,4204,2687,4.3,9,24,43.1,Success,1,Yes,No,Sprint-1,4133.3,Apache-2.0
D0607,Taylor,DevOps,12.2,India,Atlas,Python,999999,727,2832,43,889,329,347,27/09/2023,8PM,48,4068,1591,4.6,4,27,54.8,Success,3,Yes,No,Sprint-4,1643.7,Apache-2.0
D0191,Taylor,Frontend,,India,Forge,Go,2695,893,3199,14,521,70,399,2025-04-28,00:00,44,1680,359,6.7,0,26,18.1,FAIL,5,No,No,Sprint-6,670.4,Apache-2.0
D0600,Alex,Platform,12.4,India,Atlas,Java,999999,110,2528,106,159,86,337,02/04/2025,00:00,38,1764,310,4.3,26,9,46.1,FAIL,3,No,Yes,Sprint-5,4531.2,GPL
D0417,Alex,Platform,10.4,India,Atlas,Go,1401,866,86,143,431,156,359,2025-02-25,00:00,94,1969,2059,1.6,20,2,47.1,FAIL,2,Yes,No,Sprint-1,656.9,
D0202,Sam,DevOps,,India,Nova,pyhton,999999,461,788,154,54,148,436,2024-07-17,8PM,82,1513,1882,7.6,17,22,49.0,Failed,3,Yes,No,Sprint-3,1992.7,GPL
D0581, ,Platform,10.0,India,Atlas,TypeScript,3753,126,1473,110,691,153,42,2023-03-14,00:00,48,1335,1153,2.2,0,11,54.2,Failed,9,No,Yes,Sprint-12,523.8,MIT
D0130,Chris,Frontend,,Germany,Atlas,Java,999999,555,5114,193,480,127,372,2024-06-03,25:61,96,4704,734,10.3,25,0,37.4, ,9,Yes,Yes,Sprint-5,4364.4,Apache-2.0
D0456, ,DevOps,,USA,Nova,,28,203,4110,94,892,448,415,05/11/2023,25:61,49,369,1838,9.4,9,5,55.2,Success,0,Yes,Yes,Sprint-5,1169.5,MIT
D0400,Alex,DevOps,12.5,USA,Forge,TypeScript,999999,555,5454,141,578,156,481,2023-08-16,8PM,87,3259,776,1.5,17,18,4.8, ,3,Yes,No,Sprint-3,674.2,Apache-2.0
D0558,Alex,DevOps,,India,Forge,Rust,2110,108,117,61,627,341,453,2023-12-16,25:61,68,3450,893,11.8,12,26,16.4, ,5,Yes,Yes,Sprint-3,3575.7,
D0603,Sam,Backend,10.9,India,Nova, PYTHON,-5,869,1677,140,670,190,184,2025-03-10,8PM,76,4235,2181,7.4,19,13,21.8,Failed,2,No,Yes,Sprint-1,2252.9,GPL
D0388,Alex,DevOps,,USA,Nova,Go,3403,999,1991,55,725,360,68,2025-04-24,8PM,23,4836,1640,5.8,28,13,22.8,FAIL,4,Yes,No,Sprint-10,2805.9,Apache-2.0
D0472, ,DevOps,,India,Forge, PYTHON,-5,149,1974,194,524,301,196,14/09/2024,25:61,20,2658,2951,13.9,19,13,22.0,FAIL,3,No,No,Sprint-8,3943.7,
D0690, ,Frontend,,USA,Atlas,Python,-5,389,3419,106,354,423,374,2024-04-12,00:00,44,1447,477,2.5,4,19,66.4,Failed,8,Yes,No,Sprint-12,1533.7,
D0551,Taylor,Frontend,12.6,India,Atlas,python,999999,824,3235,123,632,476,20,29/04/2024,8PM,38,3031,1403,11.3,10,11,8.5,FAIL,0,Yes,Yes,Sprint-4,528.4,
D0513,Sam,Backend,7.1,India,Forge,TypeScript,999999,771,4838,198,434,91,216,25/11/2023,8PM,85,2513,2414,6.1,12,26,11.5,Failed,10,Yes,No,Sprint-2,3137.2,GPL
D0551,Taylor,AI,10.2,USA,Nova,pyhton,-5,738,3610,8,352,466,418,02/05/2023,8PM,32,1735,2945,7.8,20,25,31.1, ,10,Yes,No,Sprint-7,3292.9,MIT
D0281,Alex,DevOps,,India,Forge,,3510,589,1896,3,579,442,136,05/04/2023,00:00,79,2672,59,13.7,18,22,68.0,Success,3,Yes,No,Sprint-6,1711.2,MIT
D0064, ,Platform,1.8,Germany,Nova,pyhton,-5,512,4810,127,700,89,16,19/07/2023,25:61,93,990,306,2.4,8,3,2.3,FAIL,7,No,Yes,Sprint-4,1674.4,MIT
D0387, ,Backend,9.1,Germany,Forge,Python,732,941,2067,25,974,375,423,16/03/2025,8PM,65,2474,1148,12.1,13,14,72.0, ,5,Yes,No,Sprint-12,3237.0,
D0606, ,AI,,USA,Nova,Java,-5,340,2566,0,710,208,232,09/08/2023,25:61,86,2582,1059,14.0,6,3,47.9, ,2,Yes,Yes,Sprint-4,3367.1,
D0208,Sam,Frontend,11.7,India,Atlas,python,999999,892,4652,125,338,99,41,13/11/2023,25:61,56,4553,767,6.5,9,19,46.2,Failed,4,Yes,Yes,Sprint-12,3179.9,Apache-2.0
D0518,Taylor,Platform,,Germany,Forge,Rust,-5,291,3769,87,70,117,366,06/08/2024,00:00,12,1121,1836,13.8,30,11,51.4,FAIL,0,No,No,Sprint-12,3329.4,MIT
D0098,Taylor,Frontend,9.9,Germany,Nova,,2733,5,2559,179,267,128,412,30/06/2023,00:00,16,1830,190,5.3,19,30,37.5,FAIL,5,Yes,No,Sprint-7,2166.6,GPL
D0105,Chris,Platform,,Germany,Forge,TypeScript,-5,897,5452,71,825,280,146,2024-04-09,00:00,91,2429,575,5.9,26,8,20.4,FAIL,9,Yes,No,Sprint-9,406.7,MIT
D0059,Alex,AI,,India,Forge,,-5,349,150,43,27,270,413,03/03/2023,8PM,44,4864,1318,4.0,9,20,58.4,Failed,1,Yes,No,Sprint-4,3868.8,
D0414,Taylor,Backend,9.8,USA,Forge,Python,999999,112,5722,154,41,36,190,2023-05-17,8PM,59,3753,2302,11.7,2,23,60.8,Success,5,Yes,Yes,Sprint-1,953.3,Apache-2.0
D0024, ,AI,,Germany,Atlas,TypeScript,999999,418,5516,138,803,486,209,2023-10-15,25:61,88,1226,1151,5.1,3,23,27.5,Success,6,Yes,No,Sprint-3,1408.5,GPL
D0019,Chris,AI,4.6,India,Forge,python,-5,632,5642,38,503,75,491,08/11/2024,25:61,12,3482,1328,4.3,18,26,31.4,Success,8,Yes,No,Sprint-5,3878.3,GPL
D0679,Sam,Backend,5.9,USA,Atlas,python,-5,274,3809,24,424,371,94,30/04/2025,8PM,55,4721,77,8.2,18,4,34.6, ,10,Yes,No,Sprint-3,4354.5,
D0194,Chris,Backend,,USA,Forge,,392,727,2207,122,346,462,211,30/09/2024,25:61,90,3093,1814,1.0,0,2,29.7,Failed,0,Yes,Yes,Sprint-4,4925.8,GPL
D0507,Alex,Frontend,,India,Nova,Python,2284,492,5629,132,977,301,296,24/03/2025,8PM,36,2121,2977,13.3,25,5,46.2, ,4,No,No,Sprint-9,3742.1,
D0687,Sam,Platform,,Germany,Nova,TypeScript,-5,836,4835,189,990,87,298,26/06/2023,00:00,71,2038,809,3.1,9,5,48.4, ,9,Yes,No,Sprint-12,1847.9,
D0691,Chris,Backend,4.9,USA,Atlas,python,4846,489,977,116,992,355,175,03/04/2023,00:00,79,1213,746,12.4,19,24,23.5, ,5,No,No,Sprint-9,4966.1,Apache-2.0
D0578,Sam,Frontend,,USA,Nova,Python,1008,928,4909,153,205,495,235,2024-08-04,00:00,16,4241,1796,13.1,1,0,64.6,Success,1,Yes,Yes,Sprint-2,1247.3,
D0318,Sam,DevOps,,USA,Atlas,Rust,999999,866,2621,73,254,442,169,2024-11-22,8PM,40,4737,2954,13.4,30,26,58.3,Success,7,No,Yes,Sprint-10,3039.5,Apache-2.0
D0115,Chris,Backend,,India,Forge,,-5,720,5757,9,298,219,333,2024-11-21,25:61,61,3795,1726,3.3,20,0,38.0,FAIL,7,No,Yes,Sprint-3,3014.2,Apache-2.0
D0483,Chris,AI,8.0,Germany,Nova,pyhton,4963,940,2430,47,172,203,131,2024-11-17,25:61,4,817,40,12.1,16,13,20.9,FAIL,7,Yes,No,Sprint-3,4501.1,MIT
D0425,Chris,Frontend,,USA,Atlas,pyhton,-5,493,3576,24,825,408,297,2025-06-05,00:00,68,2333,448,2.2,14,4,50.7,Failed,8,Yes,Yes,Sprint-2,4914.2,MIT
D0636, ,Frontend,8.5,India,Nova,python,-5,341,267,142,259,361,273,22/03/2025,25:61,97,1405,2809,4.8,25,27,4.8,FAIL,9,No,Yes,Sprint-2,1530.8,
D0562,Chris,DevOps,,India,Forge,,-5,294,2724,45,42,112,174,2024-09-03,25:61,59,4401,1645,12.0,28,9,56.5,Failed,0,Yes,Yes,Sprint-4,1028.9,
D0279,Taylor,Backend,,India,Atlas,TypeScript,2298,342,3895,11,654,146,159,2025-06-12,8PM,56,32,2372,7.3,1,26,17.5, ,8,No,No,Sprint-5,373.4,Apache-2.0
D0612,Alex,AI,2.1,USA,Atlas,Rust,-5,224,1954,60,506,350,171,01/12/2023,8PM,67,775,2447,11.7,29,16,55.8,Failed,7,Yes,Yes,Sprint-11,2863.2,
D0073,Sam,DevOps,0.8,USA,Forge,TypeScript,-5,809,3289,192,50,302,39,03/03/2025,25:61,74,4110,2907,12.2,24,8,37.4,Success,4,No,Yes,Sprint-5,206.2,MIT
D0382,Sam,AI,,India,Nova, PYTHON,999999,134,384,94,80,433,403,15/01/2023,8PM,18,2170,1346,1.9,12,7,61.7,Success,0,Yes,No,Sprint-12,1778.8,Apache-2.0
D0443, ,DevOps,,Germany,Nova,Python,-5,327,2667,191,788,96,57,05/10/2024,8PM,82,1881,192,3.5,29,0,51.8,Failed,9,No,No,Sprint-1,4483.1,Apache-2.0
D0498,Alex,AI,5.6,Germany,Atlas,Java,141,190,2478,13,41,264,345,2025-06-13,8PM,59,4667,1965,1.0,21,1,43.5, ,8,No,Yes,Sprint-3,2525.9,Apache-2.0
D0038,Chris,Frontend,12.4,USA,Nova, PYTHON,-5,651,3227,83,791,353,282,10/04/2024,25:61,2,1748,1620,6.3,2,10,15.2,FAIL,2,No,Yes,Sprint-4,3102.8,Apache-2.0
D0474,Alex,Frontend,,India,Nova, PYTHON,999999,253,5239,88,391,303,273,2024-05-23,8PM,5,1470,2332,6.6,6,23,23.8,FAIL,2,Yes,Yes,Sprint-11,569.2,GPL
D0568, ,Backend,,Germany,Atlas,,-5,429,5812,70,799,395,276,2023-08-30,00:00,28,4372,252,2.0,9,27,45.1,FAIL,1,No,Yes,Sprint-4,700.7,GPL
D0424,Alex,Platform,1.9,India,Nova,Java,999999,298,1879,115,289,225,124,2023-05-26,00:00,16,1899,1612,3.1,30,24,46.6,Failed,3,No,Yes,Sprint-7,485.6,Apache-2.0
D0509,Taylor,Backend,14.0,USA,Nova,TypeScript,2470,430,4769,117,97,104,469,09/12/2024,8PM,12,4183,1672,11.2,3,7,61.8, ,3,Yes,No,Sprint-11,3850.1,Apache-2.0
D0334,Taylor,AI,,USA,Nova,Python,-5,338,5152,52,959,77,280,2024-04-24,25:61,79,1884,2075,5.8,8,24,39.6,FAIL,2,No,No,Sprint-11,2928.0,
D0629,Alex,AI,9.6,USA,Forge, PYTHON,3516,106,5036,71,62,383,223,2025-04-20,8PM,17,2048,2971,10.5,18,8,34.9,Failed,1,Yes,Yes,Sprint-8,566.5,GPL
D0456,Chris,Platform,5.3,USA,Atlas,TypeScript,-5,114,4156,190,743,264,22,2024-04-12,8PM,48,3692,1066,6.5,2,6,9.0,Success,10,No,No,Sprint-1,3170.9,Apache-2.0
D0237,Sam,Frontend,,Germany,Forge,pyhton,999999,73,222,46,774,148,295,16/12/2023,25:61,47,2325,2095,3.5,19,30,17.0, ,4,No,No,Sprint-8,421.8,
D0136,Alex,Platform,7.1,India,Nova,,-5,188,4231,155,826,243,386,01/05/2023,00:00,30,2279,1585,8.6,28,30,10.2,FAIL,7,No,No,Sprint-1,476.7,Apache-2.0
D0460,Sam,Frontend,,USA,Atlas,,-5,934,3280,91,341,76,486,30/06/2023,25:61,70,1936,1933,7.8,29,30,35.6,FAIL,3,Yes,No,Sprint-6,4531.6,GPL
D0678,Chris,DevOps,,India,Atlas,Rust,-5,813,4016,83,13,343,222,2025-03-03,25:61,12,1967,134,9.8,4,21,29.6, ,5,Yes,No,Sprint-4,815.7,MIT
D0032,Alex,Platform,,USA,Atlas,Go,999999,362,1288,105,803,466,174,2023-04-22,25:61,21,1231,2651,11.9,6,30,27.9,FAIL,7,No,No,Sprint-9,385.1,MIT
D0545,Sam,Frontend,,Germany,Forge,Python,-5,642,740,138,567,115,282,24/07/2024,25:61,33,1551,1108,2.7,24,19,8.4, ,2,Yes,Yes,Sprint-2,3664.6,MIT
D0448, ,DevOps,,USA,Nova,Python,999999,42,2489,181,1,205,223,20/10/2024,00:00,90,782,1360,1.1,21,22,70.5,Failed,4,Yes,No,Sprint-12,2627.2,Apache-2.0
D0522,Taylor,AI,10.6,India,Forge, PYTHON,2009,491,5948,199,932,68,126,2023-10-26,00:00,100,3665,2125,10.0,21,30,54.1,FAIL,0,No,No,Sprint-3,3608.9,
D0352,Sam,DevOps,0.0,Germany,Forge, PYTHON,4751,932,756,10,559,33,156,2024-05-19,25:61,9,292,903,3.5,22,2,61.5,FAIL,4,No,Yes,Sprint-11,1050.0,MIT
D0429,Alex,DevOps,2.5,Germany,Forge,Python,-5,72,1324,194,111,47,427,22/05/2024,8PM,31,2810,2609,5.7,15,2,71.4, ,2,No,Yes,Sprint-12,3195.4,GPL
D0233,Chris,Backend,,USA,Forge, PYTHON,999999,630,2573,22,828,112,279,22/01/2025,8PM,47,2730,1389,0.7,30,6,43.5, ,4,Yes,No,Sprint-3,4946.7,Apache-2.0
D0663,Sam,Backend,10.2,USA,Nova,Java,290,490,1124,159,151,106,32,2023-11-16,00:00,9,511,1617,3.5,27,30,14.7,FAIL,10,No,No,Sprint-2,3367.8,MIT
D0644,Sam,Frontend,5.9,USA,Atlas, PYTHON,-5,602,2589,167,638,127,187,2023-03-14,25:61,80,2073,798,11.4,5,10,36.6,FAIL,4,Yes,Yes,Sprint-7,2642.4,GPL
D0606,Chris,AI,3.1,USA,Atlas,TypeScript,-5,666,2695,174,325,240,3,03/11/2024,25:61,73,1909,1822,8.7,1,11,64.6, ,3,No,No,Sprint-4,760.4,Apache-2.0
D0466,Sam,DevOps,2.4,India,Atlas, PYTHON,1178,336,4202,195,856,6,334,30/01/2025,25:61,57,2046,2026,3.4,5,22,43.6,FAIL,6,Yes,Yes,Sprint-7,4672.1,
D0522, ,Frontend,,India,Atlas,TypeScript,2286,528,3349,127,343,105,325,06/04/2024,25:61,78,4857,1846,5.6,10,30,35.4, ,7,Yes,Yes,Sprint-8,2171.2,MIT
D0100,Sam,DevOps,,USA,Nova,Go,999999,741,3924,2,791,36,233,2024-12-12,25:61,37,1464,2262,9.4,16,15,8.7,Success,1,Yes,No,Sprint-8,3458.5,MIT
D0037,Taylor,DevOps,,Germany,Nova,Java,-5,705,1784,68,710,408,466,04/07/2023,25:61,82,2022,2126,10.6,26,14,47.5,FAIL,10,Yes,No,Sprint-12,3667.5,MIT
D0556,Chris,Frontend,8.4,Germany,Nova,Go,3810,106,1772,20,503,5,127,2024-02-24,25:61,13,4071,1960,10.6,13,21,55.1,FAIL,10,Yes,No,Sprint-12,418.9,
D0128,Alex,DevOps,6.8,USA,Forge,,4614,273,264,62,433,312,232,04/12/2023,8PM,54,881,2856,12.3,9,29,4.7,Failed,8,No,Yes,Sprint-4,3262.3,MIT
D0484,Alex,DevOps,,Germany,Nova,Go,-5,495,4141,34,924,371,133,15/04/2025,00:00,2,2655,1161,12.0,27,11,57.7,Failed,10,Yes,Yes,Sprint-1,4820.1,MIT
D0540,Sam,DevOps,,Germany,Atlas,TypeScript,999999,150,4105,39,543,499,170,2024-06-04,25:61,73,3293,860,8.8,3,14,28.6,Success,1,No,Yes,Sprint-1,915.7,MIT
D0208,Taylor,AI,0.3,Germany,Atlas,Go,2827,796,5209,182,769,275,484,09/03/2023,8PM,18,4127,649,3.5,17,25,21.8,Success,0,No,Yes,Sprint-5,2738.3,
D0294,Taylor,Platform,4.3,India,Forge,Java,4460,803,4594,130,483,190,73,29/03/2023,25:61,97,1796,2006,7.1,6,16,54.8, ,6,Yes,No,Sprint-1,3911.4,Apache-2.0
D0529,Sam,Backend,,USA,Forge,,999999,152,1044,181,718,129,133,28/05/2023,8PM,32,4736,293,10.0,21,30,31.8,Success,3,Yes,Yes,Sprint-2,3084.3,MIT
D0130,Sam,Platform,,USA,Atlas,Rust,-5,577,1591,124,250,117,46,2025-05-15,00:00,3,2310,1046,3.7,16,18,57.2, ,9,No,Yes,Sprint-6,4078.1,MIT
D0260,Sam,Platform,3.2,India,Forge, PYTHON,999999,936,2453,161,12,496,252,2023-06-19,8PM,60,2736,2801,10.9,18,23,46.2, ,3,No,No,Sprint-6,2810.3,
D0656,Chris,Platform,7.4,India,Nova,python,809,915,1016,33,984,171,399,2024-10-18,25:61,20,4702,522,7.4,7,3,5.7,Success,10,No,No,Sprint-3,2793.3,MIT
D0539,Chris,AI,,India,Atlas,Python,-5,166,5340,127,929,48,102,2023-05-10,8PM,61,581,2789,8.8,5,9,18.6,Failed,6,Yes,No,Sprint-5,3651.5,MIT
D0080,Chris,AI,,Germany,Atlas,Java,999999,329,5657,72,700,448,94,2023-07-18,8PM,36,3514,2907,5.5,0,16,7.7, ,3,Yes,No,Sprint-5,4372.2,MIT
